1
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// RewardType: (1: Experience, 2: Money, 4: Item, 8: Effect, 16: Contribution)
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// [0~5]  [1~16]       [Mob/Item]    [0/N]      [*/0~15]    [*/0-1]       [*/0-1]      [*/0~8]     [*/0~63]    [Index]        [0~4]          [Class: 0~3]
// Sort   RewardType   RewardIndex   Quantity   ItemLevel   SkillSwitch   LuckSwitch   Aditional   Excellent   RequireIndex   RequireState   DW   DK   FE   MG   DL   SU
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0      1            *             50         *           *             *            *           *           9              1              1    1    1    0    0    1
   0      1            *             50         *           *             *            *           *           15             1              1    1    1    0    0    1
   1      2            *             500        *           *             *            *           *           15             1              1    1    1    0    0    1
   0      1            *             100        *           *             *            *           *           20             1              1    1    1    0    0    1
   1      2            *             1000       *           *             *            *           *           20             1              1    1    1    0    0    1
   0      1            *             250        *           *             *            *           *           23             1              0    0    1    0    0    0
   1      2            *             1000       *           *             *            *           *           23             1              0    0    1    0    0    0
   0      1            *             250        *           *             *            *           *           24             1              1    1    0    0    0    0
   1      2            *             1000       *           *             *            *           *           24             1              1    1    0    0    0    0
   0      1            *             250        *           *             *            *           *           25             1              0    0    0    0    0    1
   1      2            *             1000       *           *             *            *           *           25             1              0    0    0    0    0    1
   0      1            *             200        *           *             *            *           *           29             1              1    1    1    0    0    1
   1      2            *             3000       *           *             *            *           *           29             1              1    1    1    0    0    1
   0      1            *             5000       *           *             *            *           *           33             1              0    0    1    0    0    0
   1      2            *             3000       *           *             *            *           *           33             1              0    0    1    0    0    0
   0      1            *             5000       *           *             *            *           *           34             1              1    1    0    0    0    0
   1      2            *             3000       *           *             *            *           *           34             1              1    1    0    0    0    0
   0      1            *             5000       *           *             *            *           *           35             1              0    0    0    0    0    1
   1      2            *             3000       *           *             *            *           *           35             1              0    0    0    0    0    1
end

7
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// RewardType: (1: Experience, 2: Money, 4: Item, 8: Effect, 16: Contribution)
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// [0~5]  [1~16]       [Mob/Item]    [0/N]      [*/0~15]    [*/0-1]       [*/0-1]      [*/0~8]     [*/0~63]    [Index]        [0~4]          [Class: 0~3]
// Sort   RewardType   RewardIndex   Quantity   ItemLevel   SkillSwitch   LuckSwitch   Aditional   Excellent   RequireIndex   RequireState   DW   DK   FE   MG   DL   SU
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0      4            7331          1          0           0             0            0           0           4              1              1    1    1    1    1    1
   0      4            7330          1          0           0             0            0           0           9              1              1    1    1    1    1    1
   0      4            7330          1          0           0             0            0           0           14             1              1    1    1    1    1    1
end

16
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// RewardType: (1: Experience, 2: Money, 4: Item, 8: Effect, 16: Contribution)
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// [0~5]  [1~16]       [Mob/Item]    [0/N]      [*/0~15]    [*/0-1]       [*/0-1]      [*/0~8]     [*/0~63]    [Index]        [0~4]          [Class: 0~3]
// Sort   RewardType   RewardIndex   Quantity   ItemLevel   SkillSwitch   LuckSwitch   Aditional   Excellent   RequireIndex   RequireState   DW   DK   FE   MG   DL   SU
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0      16           *             5          *           *             *            *           *           1              1              1    1    1    1    1    1
   1      1            *             100000     *           *             *            *           *           1              1              1    1    1    1    1    1
   2      4            7203          3          7           0             0            0           0           1              1              1    1    1    1    1    1
   0      16           *             5          *           *             *            *           *           4              1              1    1    1    1    1    1
   1      1            *             200000     *           *             *            *           *           4              1              1    1    1    1    1    1
   2      4            7203          3          7           0             0            0           0           4              1              1    1    1    1    1    1
   0      16           *             5          *           *             *            *           *           7              1              1    1    1    1    1    1
   1      1            *             300000     *           *             *            *           *           7              1              1    1    1    1    1    1
   2      4            7204          3          0           0             0            0           0           7              1              1    1    1    1    1    1
   0      16           *             5          *           *             *            *           *           10             1              1    1    1    1    1    1
   1      1            *             400000     *           *             *            *           *           10             1              1    1    1    1    1    1
