1
//Index   Number   StartType   MonsterClass   CurrentState   NextIndex1   NextState1   NextIndex2   NextState2   NextIndex3   NextState3   RequireIndex   RequireGroup   RequireState   RequireMinLevel   RequireMaxLevel   RequireMinReset   RequireMaxReset   RequireFamily   RequireDoW   RequireCooldown   DW   DK   FE   MG   DL   SU
0         0        1           257            0              1            0            *            *            *            *            *              *              *              1                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
0         0        1           257            0              1            0            *            *            *            *            0              1              0              1                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
0         0        1           257            0              1            0            *            *            *            *            0              1              4              1                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
1         0        *           257            0              2            1            3            0            *            *            1              1              0              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
1         0        1           257            0              2            1            3            0            *            *            1              1              4              1                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
2         0        *           257            1              *            *            *            *            *            *            2              1              1              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
2         0        1           257            1              *            *            *            *            *            *            2              1              4              1                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
3         0        *           257            0              4            1            2            1            *            *            3              1              0              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
3         0        1           257            0              4            1            2            1            *            *            3              1              4              1                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
4         0        *           257            1              *            *            *            *            *            *            4              1              1              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
4         0        1           257            1              *            *            *            *            *            *            4              1              4              1                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
5         1        0           257            0              6            0            9            1            *            *            2              1              3              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
5         1        0           257            0              6            0            9            1            *            *            4              1              3              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
5         1        0           257            0              6            0            9            1            *            *            5              1              0              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
5         1        0           257            0              6            0            9            1            *            *            5              1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
6         1        0           257            0              7            0            *            *            *            *            6              1              0              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
6         1        0           257            0              7            0            *            *            *            *            6              1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
7         1        0           257            0              8            0            *            *            *            *            7              1              0              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
7         1        0           257            0              8            0            *            *            *            *            7              1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
8         1        0           257            0              9            1            *            *            *            *            8              1              0              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
8         1        0           257            0              9            1            *            *            *            *            8              1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
9         1        0           257            1              *            *            *            *            *            *            9              1              1              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
9         1        0           257            1              *            *            *            *            *            *            9              1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
10        2        0           257            0              11           0            15           1            *            *            9              1              3              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
10        2        0           257            0              11           0            15           1            *            *            10             1              0              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
10        2        0           257            0              11           0            15           1            *            *            10             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
11        2        0           257            0              12           0            13           0            14           0            11             1              0              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
11        2        0           257            0              12           0            13           0            14           0            11             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
12        2        0           257            0              13           0            14           0            15           1            12             1              0              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
12        2        0           257            0              13           0            14           0            15           1            12             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
13        2        0           257            0              12           0            14           0            15           1            13             1              0              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
13        2        0           257            0              12           0            14           0            15           1            13             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
14        2        0           257            0              12           0            13           0            15           1            14             1              0              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
14        2        0           257            0              12           0            13           0            15           1            14             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
15        2        0           257            1              *            *            *            *            *            *            15             1              1              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
15        2        0           257            1              *            *            *            *            *            *            15             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
16        3        0           257            0              17           0            *            *            *            *            15             1              3              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
16        3        0           257            0              17           0            *            *            *            *            16             1              0              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
16        3        0           257            0              17           0            *            *            *            *            16             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
17        3        0           257            0              20           1            18           0            *            *            17             1              0              *                 *                 *                 *                 *               *            *                 1    1    1    0    0    1
17        3        0           257            0              20           1            18           0            *            *            17             1              4              1                 50                *                 *                 *               *            *                 1    1    1    0    0    1
